stop_id,stop_name,stop_desc,stop_lat,stop_lon
1266,CHICAGO & CHERRY #1266,,42.9194539,-87.8588898
6076,CAPITOL & N24 #6076,,43.0898171,-87.9419275
6578,PORT WASHINGTON & BERGEN #6578,,43.1720103,-87.9121338
5780,LOCUST & BREMEN #5780,,43.0711667,-87.9001471
5433,LAYTON & W204 #5433,,42.9593174,-87.9129549
4209,N107 & VILLARD #4209,,43.112298,-88.0459263
4144,S108 & HAYES #4144,,43.0008061,-88.0471196
4784,WISCONSIN & N10 #4784,,43.0385924,-87.9245651
7514,N81 & SLESKE #7514,,43.1582887,-88.0114299
39,N76 & GOOD HOPE #39,,43.148912,-88.0055393
8008,PENNSYLVANIA & BOLIVAR #8008,,42.9667474,-87.879645
5907,BURLEIGH & PIERCE #5907,,43.0746873,-87.9029277
5443,LAYTON & S28 #5443,,42.9595079,-87.9512846
5503,LAYTON & NICHOLSON #5503,,42.9588658,-87.870176
5536,WALNUT & N22 #5536,,43.0528266,-87.9400251
8091,COLLEGE LOT SOUTHWEST #8091,,42.9290452,-87.9365791
7184,S6 & ARMOUR #7184,,42.9615567,-87.9192165
6824,N60 & MARION #6824,,43.0956871,-87.9869859
1084,FOREST HOME & S26 #1084,,43.0020468,-87.9464351
6101,CAPITOL & N72 #6101,,43.0900315,-88.0016718
4570,MILWAUKEE & WASHINGTON #4570,,43.0512584,-87.9944514
2350,LAYTON & W9600 #2350,,42.9592646,-88.0333811
2479,CAPITOL & N100 #2479,,43.0894146,-88.0372557
5554,CENTER & N64 #5554,,43.0681274,-87.9918652
4184,MAYFAIR & N2400 #4184,,43.0618944,-88.0474851
2937,HOWELL & GRANGE #2937,,42.9492767,-87.909927
7950,PORT WASHINGTON & RIVERPOINT #7950,,43.1751253,-87.9127735
7583,BROWNDEER & N95 #7583,,43.1775517,-88.0287575
661,HOWELL & S3333 #661,,42.9840176,-87.9063145
2719,W TOWN SQUARE WAY & MEIJER #2719,,42.8990308,-87.9130156
1935,S13 & BARNARD #1935,,42.9569657,-87.9290169
8537,WHITNALL & S4750 #8537,,42.9596281,-87.878195
4046,LAYTON & PIERCE #4046,,43.0240063,-87.9476468
4200,LOVERS LANE & N5100 #4200,,43.1100998,-88.0553877
4567,N60 & VLIET #4567,,43.0502763,-87.9876464
6837,N60 & CHAMBERS #6837,,43.0736758,-87.9874562
4328,HIGHLAND & N38 #4328,,43.0443663,-87.9609473
1517,LINCOLN & KK #1517,,43.0028355,-87.9044141
6709,STATE & N60 #6709,,43.0435872,-87.9865269
6097,CAPITOL & N64 #6097,,43.0901364,-87.9918871
6780,STATE & HARWOOD #6780,,43.0496543,-88.0082718
1975,MLK & LLOYD #1975,,43.0582574,-87.9140874
1973,MLK & RESERVOIR #1973,,43.0550008,-87.9141574
1991,ATKINSON & N12 #1991,,43.0850575,-87.9258853
927,HAMPTON & N60 #927,,43.1048471,-87.9861371
5475,LAYTON & S51 #5475,,42.9592568,-87.9787659
6797,N85 & BROWN DEER #6797,,43.178354,-88.0156848
5855,BURLEIGH & N102 #5855,,43.0747656,-88.0407469
9467,LAYTON & S99 #9467,,42.9592539,-88.0364556
2302,BURNHAM & S53 #2302,,43.0101057,-87.9793861
2745,HIGHLAND & N35 #2745,,43.0447331,-87.9573801
652,HOWELL & CLARENCE #652,,42.9994171,-87.9049388
7194,S 6 & E 3347 #7194,,42.9831483,-87.919047
2400,KILBOURN & VANBUREN #2400,,43.0428967,-87.9031049
2034,BAKER & N 6120 #2034,,43.1276381,-87.9374115
3851,FOND DU LAC & 3823 #3851,,43.0783557,-87.9612847
4405,MARYLAND & LOCUST #4405,,43.0708937,-87.8829056
2029,GREENFIELD & S31 #2029,,43.0169874,-87.9524642
5671,VILLARD & N37 #5671,,43.1119968,-87.9587271
844,TEUTONIA & SILVER MILL #844,,43.1299351,-87.952604
4552,HIGHLAND & 3030 #4552,,43.0446676,-87.9526674
2723,MILL & N91 #2723,,43.1341959,-88.0252219
272,N35 & NORTH #272,,43.0603318,-87.9576001
4218,FARWELL & LAFAYETTE #4218,,43.0569336,-87.888614
775,VLIET & N60 #775,,43.0501106,-87.9872776
5668,VILLARD & TEUTONIA #5668,,43.1119313,-87.9497423
20,FOND DU LAC & N60 #20,,43.0981969,-87.986596
2376,CAPITOL & MARYLAND #2376,,43.089247,-87.8823071
1983,MLK & BURLEIGH #1983,,43.0746144,-87.9139167
6172,SILVER SPRING & BRIDGEWOOD #6172,,43.1187075,-87.9289649
5263,LINCOLN & S90 #5263,,43.0026378,-88.0244867
7750,EDGEWOOD & DOWNER #7750,,43.0818424,-87.878063
3787,CENTER & N41 #3787,,43.0678762,-87.9647674
1627,S84 & WASHINGTON #1627,,43.0197278,-88.0170636
4304,SHERMAN & FONDDULAC #4304,,43.0832275,-87.9674277
4180,NORTH & N120 #4180,,43.0598119,-88.0634025
4139,S108 & LAPHAM #4139,,43.0137623,-88.0469193
6145,SILVER SPRING & N86 #6145,,43.1194674,-88.0186659
3030,NICHOLSON & LAYTON #3030,,42.9584768,-87.8700662
7247,HOPKINS & N28 #7247,,43.0846366,-87.9482279
5571,N92 & CHAMBERS #5571,,43.0730474,-88.0274034
6612,PORT WASHINGTON & 5111 #6612,,43.1100766,-87.9169817
413,WISCONSIN & N18 #413,,43.0387866,-87.935256
764,WISCONSIN & CASS #764,,43.0390848,-87.9017875
